                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6783,                 3.7302,                 1.6628,                0.18877,                0.26999,                0.17989,                0.11397,                 1.2167,                 2.5084,                 1.3606,               0.070536,              0.0032738,              0.0032738
                      1,                 1.0144,                 2.0097,                 1.2031,                0.37871,                0.44307,                0.40947,                0.28553,                0.92144,                  1.782,                 1.1127,                0.04047,              0.0065417,              0.0065417
                      2,                0.93887,                 1.6668,                 1.1201,                0.36073,                0.39787,                0.33159,                0.20904,                 1.1772,                 2.0731,                  1.229,               0.010339,              0.0097437,              0.0097437
                      3,                0.94225,                 1.5274,                 1.1139,                0.49042,                0.54169,                0.52004,                0.37402,                0.88053,                 1.4171,                 1.0932,               0.009703,               0.009703,               0.009703
                      4,                0.92469,                 1.4136,                 1.1022,                0.46215,                0.57821,                0.54085,                 0.3908,                0.87773,                 1.3788,                 1.0949,               0.009703,               0.009703,               0.009703
                      5,                0.89997,                 1.3619,                 1.1006,                0.53465,                0.59756,                0.58203,                 0.4326,                0.83323,                 1.2934,                 1.0715,               0.009604,               0.009604,               0.009604
                      6,                0.88375,                 1.3091,                 1.0911,                0.56011,                0.63074,                0.60694,                0.45268,                0.81321,                 1.2245,                 1.0447,               0.009505,               0.009505,               0.009505
                      7,                0.88402,                 1.2878,                 1.0883,                0.56758,                0.61978,                0.59943,                 0.4419,                0.82695,                 1.2535,                 1.0535,               0.009406,               0.009406,               0.009406
                      8,                0.86934,                 1.2345,                 1.0796,                0.57896,                0.62465,                0.62637,                0.47668,                 0.7926,                 1.1906,                 1.0415,               0.009307,               0.009307,               0.009307
                      9,                0.86882,                 1.2034,                 1.0781,                0.63724,                0.61558,                0.63903,                0.48317,                0.80064,                 1.1906,                 1.0534,               0.009208,               0.009208,               0.009208
                     10,                0.84354,                 1.1912,                 1.0677,                0.63536,                0.60431,                0.65126,                0.49686,                0.79479,                 1.1283,                 1.0535,               0.009109,               0.009109,               0.009109
                     11,                0.83714,                 1.1628,                 1.0627,                0.60559,                0.62462,                0.64277,                0.49151,                0.78787,                 1.1376,                 1.0418,                0.00901,                0.00901,                0.00901
                     12,                0.83618,                 1.1319,                 1.0598,                 0.6121,                0.64403,                0.64897,                0.49325,                 0.7956,                 1.1249,                 1.0439,               0.008911,               0.008911,               0.008911
                     13,                0.81334,                  1.083,                 1.0463,                0.61341,                0.65456,                0.66519,                0.51462,                0.77833,                  1.075,                  1.033,               0.008812,               0.008812,               0.008812
                     14,                0.80027,                 1.0685,                 1.0391,                0.65418,                0.62122,                0.67416,                0.52014,                0.77022,                 1.0942,                 1.0271,               0.008713,               0.008713,               0.008713
                     15,                0.79454,                  1.042,                 1.0403,                0.66304,                0.67121,                0.68255,                0.52881,                0.76071,                 1.0723,                 1.0254,               0.008614,               0.008614,               0.008614
                     16,                0.79637,                 1.0439,                   1.04,                0.62549,                0.67153,                0.68816,                0.53901,                0.75905,                  1.044,                 1.0198,               0.008515,               0.008515,               0.008515
                     17,                0.79808,                 1.0374,                 1.0388,                0.67799,                0.67514,                0.71342,                0.56075,                0.75097,                0.99334,                  1.019,               0.008416,               0.008416,               0.008416
                     18,                0.79072,                 1.0066,                 1.0381,                0.67012,                0.64704,                0.69118,                0.53523,                0.77465,                 1.0499,                 1.0335,               0.008317,               0.008317,               0.008317
                     19,                0.77578,                0.96828,                 1.0249,                0.65752,                0.66291,                 0.6832,                0.53187,                0.76832,                  1.065,                 1.0162,               0.008218,               0.008218,               0.008218
                     20,                0.78066,                 0.9815,                 1.0298,                0.67551,                0.67797,                0.70087,                 0.5516,                0.73447,                0.98687,                 1.0084,               0.008119,               0.008119,               0.008119
                     21,                0.77121,                0.94685,                 1.0274,                0.71392,                0.67961,                0.71404,                0.56509,                0.73203,                0.97128,                 1.0101,                0.00802,                0.00802,                0.00802
                     22,                0.76938,                0.94241,                 1.0257,                0.68913,                0.68169,                 0.7166,                0.56635,                0.73902,                0.96351,                 1.0069,               0.007921,               0.007921,               0.007921
                     23,                0.76771,                 0.9309,                 1.0279,                0.70449,                0.67808,                0.71976,                 0.5648,                 0.7527,                0.94846,                 1.0168,               0.007822,               0.007822,               0.007822
                     24,                0.77083,                0.92227,                 1.0262,                0.70953,                 0.6739,                0.72137,                0.56342,                0.75581,                0.97387,                 1.0198,               0.007723,               0.007723,               0.007723
                     25,                0.75834,                0.91159,                 1.0233,                 0.7071,                0.69112,                0.73231,                0.58283,                0.72561,                0.93497,                 1.0085,               0.007624,               0.007624,               0.007624
                     26,                0.74646,                0.90636,                 1.0152,                0.72055,                 0.6444,                0.69208,                 0.5319,                0.78922,                 1.0679,                 1.0457,               0.007525,               0.007525,               0.007525
                     27,                0.73713,                0.88708,                 1.0104,                0.67713,                0.72516,                0.74212,                 0.5863,                0.75513,                 0.9221,                 1.0231,               0.007426,               0.007426,               0.007426
                     28,                0.73411,                0.86488,                 1.0039,                0.67994,                0.70036,                0.72796,                0.58092,                 0.7173,                0.93412,                0.99974,               0.007327,               0.007327,               0.007327
                     29,                0.73604,                0.85425,                 1.0099,                0.72028,                0.69074,                 0.7362,                0.58645,                0.72944,                0.91818,                 1.0038,               0.007228,               0.007228,               0.007228
                     30,                0.72138,                0.84092,                0.99567,                0.73829,                0.70589,                0.75526,                0.59872,                0.72622,                0.89112,                0.99788,               0.007129,               0.007129,               0.007129
                     31,                0.72154,                0.81348,                0.99409,                0.69574,                0.71446,                0.73339,                0.58374,                0.72256,                0.93132,                0.99702,                0.00703,                0.00703,                0.00703
                     32,                0.72588,                0.79761,                 1.0049,                0.75539,                0.71384,                0.77257,                0.61985,                0.71722,                0.84817,                0.99899,               0.006931,               0.006931,               0.006931
                     33,                0.71386,                0.80611,                0.99691,                0.73032,                0.70533,                0.75776,                0.60194,                0.72855,                0.87859,                0.99904,               0.006832,               0.006832,               0.006832
                     34,                0.71434,                0.78922,                0.99428,                 0.7403,                0.67404,                0.74623,                0.59399,                0.73103,                0.88964,                 1.0037,               0.006733,               0.006733,               0.006733
                     35,                0.71741,                0.78636,                0.99187,                0.75261,                0.71985,                0.76738,                0.61338,                0.72248,                0.84993,                 1.0001,               0.006634,               0.006634,               0.006634
                     36,                0.70835,                0.76723,                0.98939,                0.71936,                0.71896,                0.76054,                0.61388,                0.71282,                0.85227,                0.99389,               0.006535,               0.006535,               0.006535
                     37,                0.71144,                0.76838,                0.99785,                0.75761,                0.67186,                0.74785,                0.59605,                0.72893,                0.90916,                 1.0033,               0.006436,               0.006436,               0.006436
                     38,                0.70736,                0.75813,                0.99283,                0.72168,                0.71255,                0.74948,                0.60113,                0.71111,                0.87718,                0.99817,               0.006337,               0.006337,               0.006337
                     39,                 0.6977,                0.75085,                0.98983,                 0.7235,                0.69152,                0.74839,                0.60423,                0.71282,                0.87329,                 1.0011,               0.006238,               0.006238,               0.006238
                     40,                 0.6915,                 0.7251,                0.98574,                0.74957,                0.66006,                0.74249,                0.58958,                0.74491,                0.90962,                 1.0212,               0.006139,               0.006139,               0.006139
                     41,                 0.6851,                0.72049,                0.98089,                0.75333,                0.72335,                0.76818,                0.61908,                 0.7038,                0.83428,                0.99815,                0.00604,                0.00604,                0.00604
                     42,                0.67975,                0.70258,                0.98169,                0.76434,                0.68825,                0.76028,                 0.6036,                0.73383,                0.90836,                 1.0128,               0.005941,               0.005941,               0.005941
                     43,                0.67869,                0.69751,                0.97713,                  0.777,                0.70382,                0.77049,                0.61797,                0.70535,                 0.8489,                0.99629,               0.005842,               0.005842,               0.005842
                     44,                0.68836,                0.71685,                0.98454,                0.74639,                0.71595,                0.77064,                0.62297,                 0.7022,                0.84776,                0.98535,               0.005743,               0.005743,               0.005743
                     45,                0.67818,                0.70289,                0.98039,                0.76838,                 0.7271,                0.78486,                0.63434,                0.71357,                0.84156,                0.99968,               0.005644,               0.005644,               0.005644
                     46,                0.67952,                0.68606,                 0.9787,                 0.7288,                0.66812,                0.72501,                0.57343,                0.76251,                  0.978,                 1.0214,               0.005545,               0.005545,               0.005545
                     47,                0.67597,                0.67987,                0.97452,                0.74087,                0.75173,                0.78546,                0.63349,                0.70249,                0.79903,                0.98954,               0.005446,               0.005446,               0.005446
                     48,                0.67135,                0.67707,                0.97302,                0.74579,                 0.7505,                0.78334,                0.63572,                0.70045,                0.80555,                0.99486,               0.005347,               0.005347,               0.005347
                     49,                0.66315,                0.66372,                0.96959,                0.78895,                0.73275,                0.79299,                0.64255,                0.70582,                0.78279,                0.98515,               0.005248,               0.005248,               0.005248
                     50,                0.65897,                0.65014,                0.96659,                0.78506,                0.71424,                0.78334,                0.63588,                0.69735,                    0.8,                 0.9841,               0.005149,               0.005149,               0.005149
                     51,                0.66684,                0.66815,                0.97589,                0.78355,                 0.7255,                0.78868,                0.63838,                0.69404,                 0.8063,                0.98357,                0.00505,                0.00505,                0.00505
                     52,                0.66681,                0.66096,                0.96927,                0.76867,                0.73455,                0.78562,                0.63531,                0.70595,                0.79948,                0.98251,               0.004951,               0.004951,               0.004951
                     53,                0.65624,                0.63839,                0.96486,                0.75358,                0.74174,                0.77988,                 0.6349,                0.70505,                0.81071,                0.98656,               0.004852,               0.004852,               0.004852
                     54,                0.65625,                 0.6442,                 0.9625,                0.77874,                0.74463,                0.79727,                0.64956,                0.69116,                0.78842,                0.97938,               0.004753,               0.004753,               0.004753
                     55,                0.66006,                0.63231,                0.96625,                0.76618,                0.74968,                0.80604,                0.65581,                0.69268,                0.76619,                0.98366,               0.004654,               0.004654,               0.004654
                     56,                0.63654,                0.61417,                0.95682,                0.75376,                0.75106,                0.78712,                0.63919,                0.70302,                0.78951,                0.99375,               0.004555,               0.004555,               0.004555
                     57,                 0.6395,                0.61236,                 0.9594,                0.77811,                0.73442,                0.79903,                0.64911,                 0.7054,                0.78206,                0.98165,               0.004456,               0.004456,               0.004456
                     58,                0.63923,                0.60064,                0.95745,                0.79927,                0.74048,                0.79606,                0.64897,                0.69998,                0.77657,                0.98722,               0.004357,               0.004357,               0.004357
                     59,                0.64018,                0.60316,                0.96173,                0.73653,                0.77174,                 0.7955,                0.64578,                0.70809,                0.78351,                0.99076,               0.004258,               0.004258,               0.004258
                     60,                 0.6471,                0.60346,                  0.964,                0.76332,                0.75719,                 0.7972,                0.65001,                0.69899,                0.79429,                0.99268,               0.004159,               0.004159,               0.004159
                     61,                0.62821,                0.58731,                0.95333,                0.79036,                0.74546,                0.80753,                 0.6583,                 0.7019,                0.76411,                0.99341,                0.00406,                0.00406,                0.00406
                     62,                   0.63,                0.57876,                0.95564,                0.73352,                0.75643,                0.78989,                0.63833,                0.71145,                0.82339,                0.98632,               0.003961,               0.003961,               0.003961
                     63,                0.62797,                0.57851,                0.95316,                0.78638,                0.76654,                0.80764,                0.66035,                0.69155,                0.76987,                 0.9767,               0.003862,               0.003862,               0.003862
                     64,                0.62481,                0.57957,                0.95433,                0.78734,                0.74805,                0.80085,                0.65684,                0.69501,                0.75542,                0.98294,               0.003763,               0.003763,               0.003763
                     65,                 0.6193,                0.56339,                0.95561,                 0.7765,                0.76787,                0.80658,                0.66208,                0.69152,                0.76099,                0.98701,               0.003664,               0.003664,               0.003664
                     66,                0.61933,                 0.5583,                0.94689,                0.76619,                0.79474,                0.81251,                0.66616,                0.69198,                0.74222,                 0.9725,               0.003565,               0.003565,               0.003565
                     67,                0.61501,                0.56651,                0.95004,                 0.7764,                0.75844,                 0.8047,                0.65491,                0.69871,                0.78733,                0.98227,               0.003466,               0.003466,               0.003466
                     68,                0.61002,                0.54734,                0.94171,                0.77368,                0.76318,                0.79665,                0.64943,                0.69685,                0.77929,                0.97885,               0.003367,               0.003367,               0.003367
                     69,                0.61808,                0.55552,                0.94708,                0.79321,                0.74467,                0.79076,                0.64133,                0.70361,                0.78863,                0.97759,               0.003268,               0.003268,               0.003268
                     70,                0.60347,                 0.5381,                0.94339,                0.76947,                0.78161,                0.80122,                0.65349,                0.69581,                0.75407,                0.98166,               0.003169,               0.003169,               0.003169
                     71,                0.60674,                0.54209,                0.94272,                0.80353,                0.73739,                0.80638,                0.65964,                0.69584,                 0.7613,                0.97577,                0.00307,                0.00307,                0.00307
                     72,                0.60057,                0.52983,                 0.9375,                0.82473,                0.73965,                0.80866,                0.65833,                0.70039,                0.76334,                0.98424,               0.002971,               0.002971,               0.002971
                     73,                0.59806,                0.52498,                0.93909,                0.79552,                0.76099,                0.81277,                0.66019,                0.69584,                0.75462,                0.97983,               0.002872,               0.002872,               0.002872
                     74,                0.60397,                0.52782,                0.93994,                0.78817,                 0.7736,                 0.8162,                0.66507,                0.69609,                 0.7519,                0.98364,               0.002773,               0.002773,               0.002773
                     75,                0.58977,                0.52181,                0.94024,                0.77997,                0.76052,                 0.8024,                  0.655,                 0.6872,                0.75628,                0.97159,               0.002674,               0.002674,               0.002674
                     76,                 0.5942,                0.52315,                 0.9379,                0.79804,                0.75049,                0.80743,                0.65816,                0.69272,                0.75371,                0.97111,               0.002575,               0.002575,               0.002575
                     77,                0.58632,                0.50303,                0.93412,                0.81219,                0.75083,                0.80878,                0.66131,                0.68906,                0.74925,                0.97851,               0.002476,               0.002476,               0.002476
                     78,                0.57677,                0.49951,                0.92993,                0.79266,                0.77086,                0.81103,                0.66529,                0.68664,                 0.7488,                0.97679,               0.002377,               0.002377,               0.002377
                     79,                0.59084,                0.51166,                0.93306,                0.76762,                0.79075,                0.81271,                 0.6649,                0.68981,                0.75187,                0.97544,               0.002278,               0.002278,               0.002278
                     80,                0.57805,                 0.4956,                0.93333,                0.80413,                0.77059,                0.81488,                0.66888,                0.68295,                0.74688,                0.97447,               0.002179,               0.002179,               0.002179
                     81,                0.58409,                0.49596,                0.93602,                 0.7845,                0.77117,                0.80438,                0.65673,                0.69265,                0.77222,                0.98057,                0.00208,                0.00208,                0.00208
                     82,                0.57215,                0.48982,                 0.9299,                 0.8053,                0.74797,                0.81284,                0.66738,                0.68889,                0.75601,                0.98136,               0.001981,               0.001981,               0.001981
                     83,                0.57161,                0.48331,                0.93258,                0.77729,                0.78664,                0.81428,                0.66562,                 0.6925,                0.73971,                0.98022,               0.001882,               0.001882,               0.001882
                     84,                 0.5689,                0.48325,                0.92853,                0.80938,                0.77564,                0.81914,                0.67113,                0.68856,                0.71636,                0.98091,               0.001783,               0.001783,               0.001783
                     85,                0.55985,                 0.4755,                0.93233,                0.81208,                0.76695,                0.81529,                0.67071,                0.69123,                0.72749,                0.98321,               0.001684,               0.001684,               0.001684
                     86,                0.56786,                0.47965,                0.92683,                0.81122,                0.75763,                0.81229,                0.66519,                0.68827,                0.73261,                0.98005,               0.001585,               0.001585,               0.001585
                     87,                0.56897,                0.48191,                0.93332,                0.78132,                0.77886,                0.81797,                0.66991,                0.69077,                0.73277,                0.98282,               0.001486,               0.001486,               0.001486
                     88,                0.55689,                0.46363,                0.92351,                0.80878,                0.74833,                0.81058,                0.66374,                0.68945,                0.73183,                0.98344,               0.001387,               0.001387,               0.001387
                     89,                0.56068,                0.46609,                0.92503,                0.78203,                0.77934,                0.81211,                0.66458,                0.69643,                0.73309,                0.98809,               0.001288,               0.001288,               0.001288
                     90,                0.51637,                0.37626,                0.90591,                0.77286,                0.78684,                0.80757,                0.66244,                0.70087,                0.77172,                 0.9975,               0.001189,               0.001189,               0.001189
                     91,                0.50821,                0.36032,                 0.8969,                0.76961,                0.77519,                0.80639,                0.65814,                0.69211,                0.76684,                0.98889,                0.00109,                0.00109,                0.00109
                     92,                0.50193,                0.35512,                0.89361,                0.77991,                0.76047,                0.80154,                 0.6594,                0.69355,                0.74995,                0.98604,               0.000991,               0.000991,               0.000991
                     93,                0.49825,                  0.349,                0.89467,                0.79479,                0.75537,                0.80833,                0.66447,                0.69821,                0.74542,                  0.981,               0.000892,               0.000892,               0.000892
                     94,                0.49704,                0.33637,                0.89012,                0.78899,                0.76969,                0.81619,                0.67214,                 0.6899,                0.73673,                0.97948,               0.000793,               0.000793,               0.000793
                     95,                0.48066,                0.32507,                0.88577,                0.77254,                0.79521,                0.81459,                0.66807,                0.68959,                0.74172,                0.98204,               0.000694,               0.000694,               0.000694
                     96,                0.49406,                0.33874,                0.88841,                0.78177,                0.77849,                0.81183,                0.66723,                0.69054,                0.74302,                0.98364,               0.000595,               0.000595,               0.000595
                     97,                0.48631,                0.32778,                 0.8864,                0.77503,                0.78218,                0.81321,                0.66608,                0.69544,                0.74617,                0.98114,               0.000496,               0.000496,               0.000496
                     98,                0.48029,                0.32624,                0.88407,                0.76757,                0.78531,                0.81422,                0.66652,                0.69697,                  0.744,                0.98335,               0.000397,               0.000397,               0.000397
                     99,                0.47404,                0.32513,                0.88351,                0.78218,                0.77813,                0.81446,                0.66746,                0.69368,                0.74483,                0.98127,               0.000298,               0.000298,               0.000298
